from,to,weight,edge_type,title,bridge_route
Chapter 5::standard_setting,Chapter 5::bodily_sign_reading,2,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 2</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::habit_repetition,Chapter 5::bodily_sign_reading,1,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 1</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::persistence_beyond_training,Chapter 5::bodily_sign_reading,1,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 1</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::embodied_standardisation,Chapter 5::bodily_sign_reading,3,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 3</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::standard_setting,Chapter 5::visibility_supervision,2,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 2</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::accountability_orientation,Chapter 5::visibility_supervision,3,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 3</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::consequence_linkage,Chapter 5::visibility_supervision,2,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 2</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::psychological_uncertainty,Chapter 5::visibility_supervision,2,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 2</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::symbolic_coercion,Chapter 5::visibility_supervision,1,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 1</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::habit_repetition,Chapter 5::visibility_supervision,2,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 2</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::embodied_standardisation,Chapter 5::visibility_supervision,3,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 3</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::bodily_sign_reading,Chapter 5::visibility_supervision,2,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 2</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::consequence_linkage,Chapter 5::bodily_proof,2,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 2</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::psychological_uncertainty,Chapter 5::bodily_proof,1,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 1</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
